,name,address,age,sex,date_of_birth
0,Roscoe Bohannon,"7183 Osborne Ways Apt. 651
East Andrew, OH 53211",59, Female,1960-05-02
1,Ernest Kline,"391 Ball Road Suite 961
Flowersborough, IN 57550",41, Male,05/04/1978
2,Harold Hendriks,"8702 Vincent Square
New Jerryfurt, CO 30614",66, Female,1953-08-17
3,Randy Baptiste,"2751 Harris Crossroad
West Ashley, CA 30311",55, Male,1964-06-29 00:00:00
4,Anthony Colucci,"904 Robert Cliffs Suite 186
West Kyle, CO 77139",67, Female,1952-06-08 00:00:00
5,Ronald Lange,"30973 Martinez Shores
Jameston, CA 70245",44, Female,1975-01-15 00 00 00
6,Boyd Eiselein,"29941 Christopher Curve Apt. 682
Raychester, VA 32742",9, Male,2010-01-07 00 00 00
7,Raymond Smith,"53487 Scott Extensions Apt. 824
Mccartytown, MA 94793",48, Male,1971-10-13
8,Harold Miller,"8514 Elizabeth Crescent
West Joseland, GA 49359",39, Male,1980-06-13
9,Charles Czachorowski,"6798 Wagner Locks Suite 377
Lake Brenda, DC 53038",57, Male,1962-04-01
10,Robert Grantham,"822 Adams Plains
New Karen, AK 92114",47, Male,72-06-23
11,Joel Lam,"61296 Reginald Rapids Suite 783
West Timothyview, IA 09137",39, Male,1980-04-23
12,Irving Gil,"90757 Amanda Views Suite 604
Port Paul, TX 04848",55, Male,1964-09-20
13,Terry Reynolds,"0019 Jensen Land Apt. 513
Port Timothyville, WI 53386",49, Female,1970-07-16
14,Kurt Littlefield,"822 Wilson Meadow
Mitchellmouth, RI 05935",31, Female,1988/10/16
15,Andy Grayson,"2573 Ryan Mission
Shortton, DC 01129",50, Male,1969-09-11
16,Chauncey Suarez,"481 Wilson Prairie
Kimberlymouth, LA 20064",57, Male,1962-08-28
17,Wallace Street,"9909 John Creek
East Heather, NY 31266",44, Male,1975-05-17
18,Daniel Crossman,"74669 Robles Drive
Port Madisonbury, LA 63565",56, Male,1962-12-08
